2019-02-02 070,2
2019-02-02 075,2
2019-02-02 080,2
2019-02-02 085,2
2019-02-02 090,2
2019-02-02 095,2
2019-02-02 100,2
2019-02-02 105,2
2019-02-02 110,2
2019-02-02 115,2
2019-02-02 120,2
2019-02-02 125,2
2019-02-02 130,2
2019-02-02 135,2
2019-02-02 140,2
2019-02-02 145,2
2019-02-02 150,2
2019-02-02 155,2
2019-02-02 160,2
2019-02-02 165,2
2019-02-02 170,2
2019-02-02 175,2
2019-02-02 180,2
2019-02-02 185,2
2019-02-02 190,2
2019-02-02 195,2
2019-02-02 200,2
2019-02-02 205,2
2019-02-02 210,2
2019-02-02 215,2
2019-02-02 220,2
2019-02-02 225,2
2019-02-02 230,2
2019-02-02 235,2
2019-02-03 000,2
2019-02-03 005,2
2019-02-03 010,2
2019-02-03 015,2
2019-02-03 020,2
2019-02-03 025,4
2019-02-03 030,4
2019-02-03 035,4
2019-02-03 040,4
2019-02-03 045,4
2019-02-03 050,4
2019-02-03 055,4
2019-02-03 060,4
2019-02-03 065,4
2019-02-03 070,4
2019-02-03 075,4
2019-02-03 080,4
2019-02-03 085,4
2019-02-03 090,4
2019-02-03 095,4
2019-02-03 100,4
2019-02-03 105,4
2019-02-03 110,20
2019-02-03 115,22
2019-02-03 120,22
2019-02-03 125,7
2019-02-03 130,2
2019-02-03 135,2
2019-02-03 140,2
2019-02-03 145,2
2019-02-03 150,2
2019-02-03 155,2
2019-02-03 160,2
2019-02-03 165,2
2019-02-03 170,2
2019-02-03 175,2
2019-02-03 180,2
2019-02-03 185,2
2019-02-03 190,2
2019-02-03 195,2
2019-02-03 200,2
2019-02-03 205,2
2019-02-03 210,2
2019-02-03 215,2
2019-02-03 220,2
2019-02-03 225,2
2019-02-03 230,2
2019-02-03 235,2
2019-02-04 000,2
2019-02-04 005,2
2019-02-04 010,2
2019-02-04 015,2
2019-02-04 020,2
2019-02-04 025,2
2019-02-04 030,2
2019-02-04 035,2
2019-02-04 040,2
2019-02-04 045,2
2019-02-04 050,2
2019-02-04 055,2
2019-02-04 060,2
2019-02-04 065,2
2019-02-04 070,2
2019-02-04 075,2
2019-02-04 080,2
2019-02-04 085,2
2019-02-04 090,2
2019-02-04 095,2
2019-02-04 100,2
2019-02-04 105,2
2019-02-04 110,2
2019-02-04 115,2
2019-02-04 120,2
2019-02-04 125,2
2019-02-04 130,2
2019-02-04 135,2
2019-02-04 140,2
2019-02-04 145,2
2019-02-04 150,2
2019-02-04 155,2
2019-02-04 160,2
2019-02-04 165,2
2019-02-04 170,2
2019-02-04 175,2
2019-02-04 180,23
2019-02-04 185,11
2019-02-04 190,11
2019-02-04 195,11
2019-02-04 200,23
2019-02-04 205,23
2019-02-04 210,23
2019-02-04 215,2
2019-02-04 220,2
2019-02-04 225,2
2019-02-04 230,2
2019-02-04 235,2
2019-02-05 000,2
2019-02-05 005,2
2019-02-05 010,2
2019-02-05 015,2
2019-02-05 020,2
2019-02-05 025,2
2019-02-05 030,2
2019-02-05 035,2
2019-02-05 040,2
2019-02-05 045,2
2019-02-05 050,2
2019-02-05 055,2
2019-02-05 060,2
2019-02-05 065,2
2019-02-05 070,2
2019-02-05 075,2
2019-02-05 080,2
2019-02-05 085,2
2019-02-05 090,2
2019-02-05 095,2
2019-02-05 100,2
2019-02-05 105,2
2019-02-05 110,2
2019-02-05 115,2
2019-02-05 120,2
2019-02-05 125,2
2019-02-05 130,2
2019-02-05 135,2
2019-02-05 140,2
2019-02-05 145,2
2019-02-05 150,2
2019-02-05 155,2
2019-02-05 160,2
2019-02-05 165,2
2019-02-05 170,2
2019-02-05 175,14
2019-02-05 180,14
2019-02-05 185,7
2019-02-05 190,7
2019-02-05 195,2
2019-02-05 200,2
2019-02-05 205,2
2019-02-05 210,2
2019-02-05 215,2
2019-02-05 220,14
2019-02-05 225,14
2019-02-05 230,14
2019-02-05 235,7
2019-02-06 000,2
2019-02-06 005,2
2019-02-06 010,2
2019-02-06 015,2
2019-02-06 020,2
2019-02-06 025,2
2019-02-06 030,2
2019-02-06 035,2
2019-02-06 040,2
2019-02-06 045,2
2019-02-06 050,2
2019-02-06 055,2
2019-02-06 060,2
2019-02-06 065,2
2019-02-06 070,2
2019-02-06 075,2
2019-02-06 080,2
2019-02-06 085,2
2019-02-06 090,2
2019-02-06 095,13
2019-02-06 100,13
2019-02-06 105,13
2019-02-06 110,13
2019-02-06 115,13
2019-02-06 120,13
2019-02-06 125,13
2019-02-06 130,13
2019-02-06 135,13
2019-02-06 140,13
2019-02-06 145,13
2019-02-06 150,13
2019-02-06 155,13
2019-02-06 160,13
2019-02-06 165,13
2019-02-06 170,13
2019-02-06 175,13
2019-02-06 180,13
2019-02-06 185,13
2019-02-06 190,13
2019-02-06 195,13
2019-02-06 200,13
